"","mukey","sl_length"
"834","2634631","30.0"
"835","2634632","61.0"
"836","2634633","38.0"
"837","2634635","55.0"
"838","2634641","30.0"
"839","2737925","84.0"
"840","2760296","68.0"
"841","2760297","68.0"
"842","2760298","68.0"
"843","2760299","68.0"
"844","2760300","68.0"
"845","2760301","68.0"
"846","2760302","68.0"
"847","2760303","68.0"
"848","2784839","99.0"
"849","2784960","68.0"
"850","2785208","49.0"
"851","2796050","68.0"
"852","2796051","68.0"
"853","2796052","68.0"
"854","2796053","68.0"
"855","2796054","68.0"
"856","3025534","99.0"
"857","3025535","99.0"
"858","3025538","99.0"
"859","3025539","99.0"
"860","3041112","84.0"
"861","3041113","84.0"
"862","3090065","68.0"
"863","3090066","84.0"
"864","3090067","55.0"
"865","3090068","84.0"
"866","3090069","61.0"
"867","3090070","61.0"
"868","3090071","68.0"
"869","3090072","68.0"
"870","3090073","61.0"
"871","3090074","55.0"
"872","3090075","33.0"
"873","3090076","55.0"
"874","3090077","61.0"
"875","3090079","84.0"
"876","3090080","68.0"
"877","3090081","61.0"
"878","3090085","68.0"
"879","3100727","99.0"
"880","3100728","99.0"
"881","3100743","61.0"
"882","3100744","61.0"
"883","3100745","61.0"
"884","3100751","61.0"
"885","3101272","61.0"
"886","3101273","55.0"
"887","3101274","91.0"
"888","3101275","61.0"
"889","3101276","40.0"
"890","3101277","30.0"
"891","3101278","91.0"
"892","3101279","54.0"
"893","3101280","55.0"
"894","3101281","30.0"
"895","3101282","30.0"
"896","3101283","61.0"
"897","3101284","30.0"
"898","3101286","30.0"
"899","3101287","61.0"
"900","3101288","61.0"
"901","3101289","61.0"
"902","3101290","30.0"
"903","3101291","30.0"
"904","3101292","91.0"
"905","3101293","30.0"
"906","3101294","30.0"
"907","3101295","55.0"
"908","3109238","84.0"
"909","3109239","84.0"
"910","3109240","84.0"
"911","3109241","84.0"
"912","3109242","84.0"
"913","3109309","49.0"
"914","3156432","15.0"
"915","3156434","0.0"
"916","3156442","61.0"
"917","3156443","91.0"
"918","3156446","91.0"
"919","3156447","61.0"
"920","3156448","91.0"
"921","3156449","61.0"
"922","3156450","91.0"
"923","3156451","61.0"
"924","3156494","49.0"
"925","3156495","55.0"
"926","3156496","30.0"
"927","3156534","61.0"
"928","3156535","30.0"
"929","3156569","38.0"
"930","3156570","38.0"
"931","3156571","38.0"
"932","3160471","99.0"
